#V																			     
          0.02758387          1.00296000          1.00296000               0.02757900          0.99948624          0.00347376	 0.027579   1.00296   0.00176
          0.02929787          0.99829000          0.99829000               0.02929300          1.00000000         -0.00171000	 0.029293   0.99829   0.00182
          0.03092587          0.99868000          0.99868000               0.03092100          1.00000000         -0.00132000	 0.030921   0.99868   0.00128
          0.03238487          0.99992000          0.99992000               0.03238000          1.00000000         -0.00008000	 0.032380   0.99992   0.00074
          0.03404687          1.00003000          1.00003000               0.03404200          1.00000000          0.00003000	 0.034042   1.00003   0.00132
          0.03585687          1.00049000          1.00049000               0.03585200          1.00000000          0.00049000	 0.035852   1.00049   0.00143
          0.03772087          1.00054000          1.00054000               0.03771600          1.00000000          0.00054000	 0.037716   1.00054   0.00128
          0.03949987          1.00085000          1.00085000               0.03949500          1.00000000          0.00085000	 0.039495   1.00085   0.00222
          0.04136387          0.99851000          0.99851000               0.04135900          1.00000000         -0.00149000	 0.041359   0.99851   0.00144
          0.04314287          1.00266000          1.00266000               0.04313800          1.00000000          0.00266000	 0.043138   1.00266   0.00150
          0.04500887          0.99988000          0.99988000               0.04500400          1.00000000         -0.00012000	 0.045004   0.99988   0.00099
          0.04678687          0.99742000          0.99742000               0.04678200          1.00000000         -0.00258000	 0.046782   0.99742   0.00135
          0.04865387          0.99781000          0.99781000               0.04864900          1.00000000         -0.00219000	 0.048649   0.99781   0.00211
          0.05043187          1.00054000          1.00054000               0.05042700          1.00000000          0.00054000	 0.050427   1.00054   0.00167
          0.05230587          1.00119000          1.00119000               0.05230100          1.00000000          0.00119000	 0.052301   1.00119   0.00114
          0.05457487          1.00002000          1.00002000               0.05457000          1.00000000          0.00002000	 0.054570   1.00002   0.00214
          0.05788987          0.99970000          0.99970000               0.05788500          1.00000000         -0.00030000	 0.057885   0.99970   0.00256
          0.06153587          1.00149000          1.00149000               0.06153100          1.00000000          0.00149000	 0.061531   1.00149   0.00238
          0.06518187          1.00107000          1.00107000               0.06517700          1.00000000          0.00107000	 0.065177   1.00107   0.00240
          0.06932987          0.99905000          0.99905000               0.06932500          1.00000000         -0.00095000	 0.069325   0.99905   0.00114
																			     
																			     
#I																			     
         -0.06662763          1.00007000          1.00007000              -0.06661100          1.00000000          0.00007000	-0.066611   1.00007   0.00036
         -0.06411263          0.99984000          0.99984000              -0.06409600          1.00000000         -0.00016000	-0.064096   0.99984   0.00031
         -0.06159663          0.99955000          0.99955000              -0.06158000          1.00000000         -0.00045000	-0.061580   0.99955   0.00114
         -0.05947663          1.00100000          1.00100000              -0.05946000          1.00000000          0.00100000	-0.059460   1.00100   0.00060
         -0.05780563          0.99974000          0.99974000              -0.05778900          1.00000000         -0.00026000	-0.057789   0.99974   0.00059
         -0.05610663          0.99902000          0.99902000              -0.05609000          1.00000000         -0.00098000	-0.056090   0.99902   0.00085
         -0.05445063          1.00029000          1.00029000              -0.05443400          1.00000000          0.00029000	-0.054434   1.00029   0.00022
         -0.05273563          0.99935000          0.99935000              -0.05271900          1.00000000         -0.00065000	-0.052719   0.99935   0.00032
         -0.05109063          1.00079000          1.00079000              -0.05107400          1.00000000          0.00079000	-0.051074   1.00079   0.00097
         -0.04908063          0.99887000          0.99887000              -0.04906400          1.00000000         -0.00113000	-0.049064   0.99887   0.00106
         -0.04699763          0.99961000          0.99961000              -0.04698100          1.00000000         -0.00039000	-0.046981   0.99961   0.00049
         -0.04535663          1.00059000          1.00059000              -0.04534000          1.00000000          0.00059000	-0.045340   1.00059   0.00039
         -0.04371463          1.00091000          1.00091000              -0.04369800          1.00000000          0.00091000	-0.043698   1.00091   0.00070
         -0.04207063          1.00041000          1.00041000              -0.04205400          1.00000000          0.00041000	-0.042054   1.00041   0.00021
         -0.04028763          1.00064000          1.00064000              -0.04027100          1.00000000          0.00064000	-0.040271   1.00064   0.00165
         -0.03852963          0.99999000          0.99999000              -0.03851300          1.00000000         -0.00001000	-0.038513   0.99999   0.00094
         -0.03688863          0.99968000          0.99968000              -0.03687200          1.00000000         -0.00032000	-0.036872   0.99968   0.00060
         -0.03518663          1.00022000          1.00022000              -0.03517000          1.00000000          0.00022000	-0.035170   1.00022   0.00097
         -0.03351563          0.99919000          0.99919000              -0.03349900          1.00000000         -0.00081000	-0.033499   0.99919   0.00045
         -0.03185863          1.00005000          1.00005000              -0.03184200          1.00000000          0.00005000	-0.031842   1.00005   0.00027
         -0.03014363          1.00049000          1.00049000              -0.03012700          1.00000000          0.00049000	-0.030127   1.00049   0.00032
